"year","warner_bros_discovery","tesla","toyota_motor","netflix","meta","honda_motor","google","fresh_del_monte","elevance_health","walt_disney_cia","cvs","united_health_group","baidu","adecoagro","archer_daniels_midland"
2014,0.956605222734255,1.50925486473659,1.09158636559933,1.47465264739016,9.40308988764045,1.18771474502995,4.68776446748912,2.54274548119199,1.70362075401269,1.14121275955462,1.36558574657066,0.769225745354799,3.15899560949139,1.56278215855053,1.66824766055634
2015,1.64407853071564,0.989683386695126,1.12931270363478,1.53881019830028,11.2477922077922,1.14099186688386,4.6667011910927,2.5819800942902,1.61640391766616,1.0259581241582,1.25849195045103,0.73754021166488,2.99712676703827,1.6659356950922,1.61636430951499
2016,1.60281870595772,1.0743092500429,1.02972059819972,1.24700239808153,11.9655652173913,1.20752584068573,6.29076151826211,2.60390138173937,1.6114868037945,1.00736254601591,1.18255238095238,0.68787054332819,2.16389744479632,1.70885466794995,1.59758597130494
2017,5.3399251737039,0.856156351791531,1.01999028931514,1.40321990486645,12.9156914893617,1.23135954754708,5.14030517305545,2.59014728288471,1.55262031169721,0.810870119928553,1.01895719133386,0.734875056972435,1.84224380613476,2.44130873552636,1.58512330946698
2018,1.05854390793095,0.83128189732813,1.03766228580525,1.49437336210883,7.19395753170871,1.22841358915147,3.91900635470826,1.94368600682594,1.56253129979513,0.942049272116461,1.02803971914836,0.727170215565036,2.72798269220622,2.37836962389779,1.74830163043478
2019,1.61068230935474,1.13462079310022,1.04525970349035,0.901254375729288,4.39945525808809,1.26094974722319,3.374051878552,1.86889323147984,1.65872004079551,0.89735490252385,0.943699228936458,0.690071541873037,2.88536075287557,1.78120197585071,1.55431775156546
2020,1.98896820246593,1.87514037057833,1.06133762426221,1.25057647963105,5.05106468193045,1.32606911398336,3.06675581518105,1.82408074981976,1.55335619461515,1.3238320564819,0.908928197107245,0.74175642087821,2.68102654090809,2.13428181641006,1.50071499285007
2021,2.10002891008962,1.37528546054301,1.08607797552632,0.950642007303569,3.15429382540809,1.47249125183053,2.92811342484515,1.7418944691672,1.46544360040132,1.08301959648615,0.884982376450809,0.788816226434374,2.86374986575019,2.1313264135635,1.45384545288865
2022,0.932210161816608,1.53195552061103,1.10434456336396,1.16832681881226,2.2033967290757,1.43989318298937,2.37799422799423,2.04448105436573,1.40107315598549,1.00085990437863,0.945434378646231,0.773995091722044,2.67298756749969,1.67471556028485,1.46376751684511
2023,0.927341507957214,1.72589397523306,1.18974526241754,1.11928676221645,2.67099499374218,1.42639219212321,2.09658493656342,2.11616722160562,1.43640975329616,1.0521532483381,0.856911944840824,0.791861005108325,3.01179840682267,2.13743548223864,1.5950594791555
