"year","company","debt_ratio","sector"
2020,"archer_daniels_midland",0.0377844495240695,"farm_products"
2021,"warner_bros_discovery",0.0217929110216673,"entertainment"
2021,"tesla",0.127606346329034,"auto_manufactures"
2021,"toyota_motor",0.0478224014762612,"auto_manufactures"
2021,"netflix",0.175814810232724,"entertainment"
2021,"meta",0.325312484248745,"internet_content"
2021,"honda_motor",0.0327071146567856,"auto_manufactures"
2021,"google",0.292808396564692,"internet_content"
2021,"fresh_del_monte",0.0261437908496732,"farm_products"
2021,"elevance_health",0.0766111925991448,"health_plan"
2021,"walt_disney_cia",0.0135983014051578,"entertainment"
2021,"cvs",0.0466030885831461,"health_plan"
2021,"united_health_group",0.100814565357117,"health_plan"
2021,"baidu",0.0366516466359767,"internet_content"
2021,"adecoagro",0.0586542777628153,"farm_products"
2021,"archer_daniels_midland",0.057764149977824,"farm_products"
2022,"warner_bros_discovery",-0.159677482247226,"entertainment"
2022,"tesla",0.290310796250653,"auto_manufactures"
2022,"toyota_motor",0.0411310137299913,"auto_manufactures"
2022,"netflix",0.154370626967435,"entertainment"
2022,"meta",0.191700524119148,"internet_content"
2022,"honda_motor",0.0301328414439716,"auto_manufactures"
2022,"google",0.230956363142026,"internet_content"
2022,"fresh_del_monte",0.0322222222222222,"farm_products"
2022,"elevance_health",0.073326789408795,"health_plan"
2022,"walt_disney_cia",0.0214369212627676,"entertainment"
2022,"cvs",0.0251101005976682,"health_plan"
2022,"united_health_group",0.117349670522719,"health_plan"
2022,"baidu",0.0270926850108887,"internet_content"
2022,"adecoagro",0.0485411616841727,"farm_products"
2022,"archer_daniels_midland",0.0925420490600798,"farm_products"
2023,"warner_bros_discovery",-0.067718329874485,"entertainment"
2023,"tesla",0.34674984161923,"auto_manufactures"
2023,"toyota_motor",0.0829717348450455,"auto_manufactures"
2023,"netflix",0.185849588299174,"entertainment"
2023,"meta",0.32306496086252,"internet_content"
2023,"honda_motor",0.0512150432179863,"auto_manufactures"
2023,"google",0.284189702162106,"internet_content"
2023,"fresh_del_monte",-0.00372549019607843,"farm_products"
2023,"elevance_health",0.0744837950781228,"health_plan"
2023,"walt_disney_cia",0.0160453140389682,"entertainment"
2023,"cvs",0.0486009462739372,"health_plan"
2023,"united_health_group",0.130536927235039,"health_plan"
2023,"baidu",0.0728122629972488,"internet_content"
2023,"adecoagro",0.101575545381093,"farm_products"
2023,"archer_daniels_midland",0.0742681928286309,"farm_products"
