"year","word","value","company"
"2022","cuts",-1,"tesla"
"2022","demand",-1,"tesla"
"2022","pay",-1,"tesla"
"2022","pay",-1,"tesla"
"2022","helps",2,"tesla"
"2022","thwart",-2,"tesla"
"2022","lawsuits",-2,"tesla"
"2022","distraction",-2,"tesla"
"2022","aggravate",-2,"tesla"
"2022","troubles",-2,"tesla"
"2022","bad",-3,"tesla"
"2023","cuts",-1,"tesla"
"2023","demand",-1,"tesla"
"2023","cutting",-1,"tesla"
"2023","charged",-3,"tesla"
"2023","murder",-2,"tesla"
"2023","solid",2,"tesla"
"2023","justice",2,"tesla"
"2023","lawsuit",-2,"tesla"
"2023","fired",-2,"tesla"
"2023","pay",-1,"tesla"
"2023","pay",-1,"tesla"
"2023","racist",-3,"tesla"
"2023","cut",-1,"tesla"
"2023","risks",-2,"tesla"
"2023","warns",-2,"tesla"
"2023","won",3,"tesla"
"2023","demand",-1,"tesla"
"2023","cuts",-1,"tesla"
"2023","demand",-1,"tesla"
"2023","strike",-1,"tesla"
"2023","benefits",2,"tesla"
"2023","risks",-2,"tesla"
"2023","lawsuit",-2,"tesla"
"2023","accuses",-2,"tesla"
"2023","strike",-1,"tesla"
"2023","helping",2,"tesla"
"2023","cuts",-1,"tesla"
"2023","expand",1,"tesla"
"2023","strike",-1,"tesla"
"2023","expand",1,"tesla"
"2023","dispute",-2,"tesla"
"2023","strike",-1,"tesla"
"2023","clash",-2,"tesla"
"2014","unhealthy",-2,"cvs"
"2014","stop",-1,"cvs"
"2014","stop",-1,"cvs"
"2014","pay",-1,"cvs"
"2014","pay",-1,"cvs"
"2015","strikes",-1,"cvs"
"2015","agrees",1,"cvs"
"2015","accuse",-2,"cvs"
"2015","blocks",-1,"cvs"
"2015","care",2,"cvs"
"2015","cut",-1,"cvs"
"2017","landmark",2,"cvs"
"2017","benefit",2,"cvs"
"2017","improve",2,"cvs"
"2017","care",2,"cvs"
"2018","refused",-2,"cvs"
"2018","approved",2,"cvs"
"2019","rejected",-1,"cvs"
"2020","hate",-3,"cvs"
"2020","errors",-2,"cvs"
"2020","poor",-2,"cvs"
"2020","flu",-2,"cvs"
"2021","super",3,"cvs"
"2021","crisis",-3,"cvs"
"2022","pay",-1,"cvs"
"2023","legal",1,"cvs"
"2023","protesting",-2,"cvs"
"2014","troubled",-2,"disney"
"2014","success",2,"disney"
"2014","strong",2,"disney"
"2014","encourage",2,"disney"
"2014","inspired",2,"disney"
"2014","win",4,"disney"
"2014","cuts",-1,"disney"
"2014","reaching",1,"disney"
"2014","top",2,"disney"
"2014","top",2,"disney"
"2014","helps",2,"disney"
"2014","hard",-1,"disney"
"2014","gains",2,"disney"
"2014","supporters",1,"disney"
"2014","hopes",2,"disney"
"2014","dick",-4,"disney"
"2014","lost",-3,"disney"
"2014","top",2,"disney"
"2014","success",2,"disney"
"2014","forgotten",-1,"disney"
"2014","hopes",2,"disney"
"2014","tops",2,"disney"
"2014","strong",2,"disney"
"2014","success",2,"disney"
"2014","promote",1,"disney"
"2014","focused",2,"disney"
"2015","perfect",3,"disney"
"2015","criticism",-2,"disney"
"2015","gains",2,"disney"
"2015","anti",-1,"disney"
"2015","top",2,"disney"
"2015","cancels",-1,"disney"
"2015","increase",1,"disney"
"2015","disappoints",-2,"disney"
"2015","shares",1,"disney"
"2015","worry",-3,"disney"
"2015","gains",2,"disney"
"2015","love",3,"disney"
"2015","visionary",3,"disney"
"2015","crazy",-2,"disney"
"2015","crying",-2,"disney"
"2015","gun",-1,"disney"
"2015","gains",2,"disney"
"2015","attracts",1,"disney"
"2015","support",2,"disney"
"2015","looms",-1,"disney"
"2015","cutting",-1,"disney"
"2015","struggles",-2,"disney"
"2016","lawsuits",-2,"disney"
"2016","arrested",-3,"disney"
"2016","terror",-3,"disney"
"2016","gun",-1,"disney"
"2016","arrest",-2,"disney"
"2016","accident",-2,"disney"
"2016","resigns",-1,"disney"
"2016","demand",-1,"disney"
"2016","success",2,"disney"
"2016","favorite",2,"disney"
"2016","war",-2,"disney"
"2016","tops",2,"disney"
"2016","care",2,"disney"
"2016","won",3,"disney"
"2016","gloomy",-2,"disney"
"2016","bad",-3,"disney"
"2016","helps",2,"disney"
"2016","medal",3,"disney"
"2016","broke",-1,"disney"
"2016","cuts",-1,"disney"
"2016","violate",-2,"disney"
"2017","anti",-1,"disney"
"2017","endorsement",2,"disney"
"2017","censors",-2,"disney"
"2017","agrees",1,"disney"
"2017","fine",2,"disney"
"2017","ugly",-3,"disney"
"2017","firing",-2,"disney"
"2017","risks",-2,"disney"
"2017","attractions",2,"disney"
"2017","cuts",-1,"disney"
"2017","challenge",-1,"disney"
"2017","fresh",1,"disney"
"2017","treasure",2,"disney"
"2017","marvel",3,"disney"
"2017","pay",-1,"disney"
"2017","reaches",1,"disney"
"2017","agreement",1,"disney"
"2017","hardship",-2,"disney"
"2017","condemn",-2,"disney"
"2017","fit",1,"disney"
"2017","assets",2,"disney"
"2017","ban",-2,"disney"
"2017","ban",-2,"disney"
"2017","tension",-1,"disney"
"2017","share",1,"disney"
"2017","retreat",-1,"disney"
"2017","expand",1,"disney"
"2017","favor",2,"disney"
"2017","bold",2,"disney"
"2018","looming",-1,"disney"
"2018","safety",1,"disney"
"2018","drop",-1,"disney"
"2018","disturb",-2,"disney"
"2018","loss",-3,"disney"
"2018","smile",2,"disney"
"2018","uneasy",-2,"disney"
"2018","paradise",3,"disney"
"2018","fun",4,"disney"
"2018","assets",2,"disney"
"2018","adventures",2,"disney"
"2018","crash",-2,"disney"
"2018","strong",2,"disney"
"2018","join",1,"disney"
"2018","looms",-1,"disney"
"2018","easy",1,"disney"
"2018","clears",1,"disney"
"2018","war",-2,"disney"
"2018","leave",-1,"disney"
"2018","smart",1,"disney"
"2018","fight",-1,"disney"
"2018","justice",2,"disney"
"2018","approves",2,"disney"
