"company","year","cash_equivalents","cash_cash_equivalents","cash_growth_percent","receivables","other_current_assets","total_current_assets","property_plant_equipment","long_term_investments","goodwill_and_intangibles","other_long_term_assets","total_long_term_assets","total_assets","accounts_payable","deferred_revenue","current_debt","other_current_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","total_long_term_liabilities","total_liabilities","total_debt","debt_growth_percent","retained_earnings","comprehensive_income","shareholders_equity","net_cash_debt","net_cash_per_share","working_capital","book_value_per_share","short_term_investments","inventory","net_cash_debt_growth_percent"
"bidu",2020,36540,162942,10.57,12832,7568,183342,27312,76233,37261,8560,149366,332708,36716,13567,17561,541,68385,65028,7452,72480,140865,82589,12.31,135284,199,182696,80353,29.16,114957,534.98,126402,NA,8.84
"bidu",2019,34439,147363,4.18,12574,5625,165562,25643,69410,30492,10209,135754,301316,32701,12617,10857,1205,57380,62677,8444,71121,128501,73534,13.3,126268,-1383,163599,73829,26.45,108182,469.61,112924,NA,-3.55
"bidu",2018,29827,141453,-1.09,11097,2544,155094,17903,80454,27717,16398,142472,297566,35381,11107,10001,364,56853,54903,10058,64961,121814,64904,48.98,129246,210,162897,76549,27.2,98241,466.75,111626,NA,-23.02
"bidu",2017,11336,143005,55.51,4748,3416,151169,12475,59750,21273,7061,100559,251728,27523,1429,7754,45351,82057,35812,3487,39299,121356,43566,-1.58,102328,930,115346,99439,35.56,69112,332.17,131669,NA,108.48
"bidu",2016,11216,91960,34.74,4466,3334,99760,11294,48399,19214,3330,82237,181997,21630,1190,9794,13488,46102,34470,3682,38152,84254,44264,26.21,85734,-1783,92274,47696,17.15,53658,266.19,80744,NA,43.74
"bidu",2015,10056,68252,19.82,5877,4104,78234,10627,38081,18730,2182,69620,147853,17840,952.94,1121,6189,26103,33950,3585,37535,63638,35071,36.02,74659,-806.06,80256,33181,11.84,52131,229.81,58196,NA,6.42
"bidu",2014,14266,56965,47.25,3664,3407,64036,8705,3545,20993,1838,35082,99118,12965,722.98,2318,4265,20271,23467,1328,24795,45066,25785,46.01,47701,-279.52,51072,31180,11.07,43766,145.66,42699,NA,48.28
"agro",2023,339.78,402.42,22.23,218.12,179.09,1056,1956,33.36,27.52,92.06,2109,3165,191.74,NA,260.05,42.27,494.05,1023,381.78,1405,1899,1283,-4.63,418.79,-603.86,1229,-881.04,NA,561.62,11.53,62.64,256.05,NA
"agro",2022,230.65,329.22,64.8,228.38,191.4,1023,1926,33.33,36.12,90.85,2086,3109,259.61,NA,334.2,17.05,610.85,1012,322.83,1334,1945,1346,26.42,202.34,-456.03,1126,-1016.51,NA,412.17,10.14,98.57,274.02,NA
"agro",2021,199.77,199.77,-40.6,188.08,134.43,761.8,1683,32.13,31.34,73.74,1821,2582,169.03,NA,157.3,31.1,357.43,907.21,269.94,1177,1535,1065,-8.77,115.74,-514.61,1012,-864.74,NA,404.37,8.63,0,239.52,NA
"agro",2020,336.28,336.28,15.85,197.93,98.9,766.57,1568,31.18,26.93,89.57,1716,2482,126.61,NA,193.96,38.6,359.17,972.9,186.45,1159,1519,1167,-1.5,8.67,-555.04,925.04,-830.58,NA,407.4,7.9,0,133.46,NA
"agro",2019,290.28,290.28,6.08,172.33,73.67,649.07,1731,34.3,33.68,72.99,1872,2521,110.49,NA,229.89,24.02,364.4,954.77,173.25,1128,1492,1185,37.41,18.73,-492.37,988.27,-894.39,NA,284.67,8.36,0,112.79,NA
"agro",2018,273.64,273.64,1.65,197.51,61.59,660.83,1480,40.73,27.91,67.47,1617,2277,106.44,NA,143.63,27.78,277.85,718.48,172.9,891.38,1169,862.12,5.4,237.19,-666.04,1064,-588.48,NA,382.99,9,0,128.1,NA
"agro",2017,269.2,269.2,69.77,172.21,139.12,689.45,831.38,42.34,17.19,64.73,955.64,1645,99.25,NA,154.9,28.26,282.41,663.06,16.6,679.66,962.07,817.96,28.73,106.21,-552.6,673.88,-548.76,NA,407.04,5.56,0,108.92,NA
"agro",2016,158.57,158.57,-20.28,174.94,122.9,568.16,814.87,44.58,17.25,51.54,928.24,1496,93.59,NA,205.09,33.8,332.48,430.3,21.31,451.62,784.09,635.4,-12.16,93,-533.12,700.33,-476.83,NA,235.68,5.78,0,111.75,NA
"agro",2015,198.89,198.89,74.78,166.81,88.4,539.38,696.89,4.8,16.66,97.67,816.01,1355,55.64,NA,239.69,28.44,323.77,483.65,20.56,504.21,827.98,723.34,3.56,48.8,-568.32,520.08,-524.45,NA,215.61,4.32,0,85.29,NA
"agro",2014,113.8,113.8,-50.98,215.12,73.23,519.25,991.58,9.43,23.78,102.13,1127,1646,85.49,NA,207.18,39.58,332.26,491.32,45.36,536.68,868.94,698.51,5.81,54.24,-397.56,769.64,-584.71,NA,186.99,6.32,0,117.11,NA
"adm",2023,1368,8596,-14.44,4232,4982,29767,11719,5500,6341,1304,24864,54631,14180,NA,406,4076,18662,9190,2634,11824,30486,9596,-6.73,23465,-2487,24145,-1000,-1.85,11105,44.63,7228,11957,NA
"adm",2022,1037,10047,12.14,4926,5666,35410,11021,5467,6544,1332,24364,59774,17659,NA,1737,4795,24191,8551,2715,11266,35457,10288,-2.77,23646,-2509,24317,-241,-0.43,11219,43.27,9010,14771,NA
"adm",2021,943,8959,36.65,3311,5158,31909,10826,5285,6747,1369,24227,56136,15353,NA,1805,4790,21948,8776,2904,11680,33628,10581,-4.27,21655,-2172,22508,-1622,-2.87,9961,39.91,8016,14481,NA
"adm",2020,666,6556,23.47,2793,6224,27286,10881,4913,5585,1054,22433,49719,10934,NA,2305,4943,18182,8748,2767,11515,29697,11053,11.91,19780,-2604,20022,-4497,-7.96,9104,35.69,5890,11713,NA
"adm",2019,852,5310,-18.35,2267,4600,21347,11077,5132,5476,965,22650,43997,8768,NA,1424,3542,13734,8453,2585,11038,24772,9877,17.75,18958,-2405,19225,-4567,-8.08,7613,34.15,4458,9170,NA
