"year","month","line_id","word","value"
"2021","11",478,"comfort",2
"2021","11",479,"growth",2
"2021","11",479,"pressure",-1
"2021","11",481,"ban",-2
"2021","12",483,"leave",-1
"2022","02",489,"beating",-1
"2022","03",492,"supported",2
"2022","03",494,"hide",-1
"2022","03",497,"hopes",2
"2022","03",497,"anti",-1
"2022","03",497,"struck",-1
"2022","04",500,"ban",-2
"2022","04",500,"hugs",2
"2022","04",501,"clears",1
"2022","04",503,"clash",-2
"2022","04",504,"cuts",-1
"2022","04",508,"top",2
"2022","06",509,"apologizes",-1
"2022","06",509,"thwarts",-2
"2022","06",510,"top",2
"2022","06",513,"kiss",2
"2022","07",516,"charged",-3
"2022","09",521,"strike",-1
"2022","09",523,"anti",-1
"2022","11",529,"cheer",2
"2022","11",530,"shocks",-2
"2022","11",530,"discontented",-2
"2022","11",531,"swift",2
"2022","12",534,"praises",3
"2022","12",534,"increased",1
"2022","12",535,"adventure",2
"2022","12",536,"treasure",2
"2022","12",536,"failed",-2
"2023","01",540,"fight",-1
"2023","02",543,"reject",-1
"2023","02",545,"cuts",-1
"2023","02",546,"battle",-1
"2023","03",550,"marvel",3
"2023","03",551,"banned",-2
"2023","04",553,"clash",-2
"2023","04",553,"authority",1
"2023","04",555,"punitive",-2
"2023","04",556,"hiding",-1
"2023","04",558,"agreement",1
"2023","04",559,"fire",-2
"2023","04",563,"strong",2
"2023","04",563,"lawsuit",-2
"2023","05",572,"blessing",3
"2023","05",572,"fame",1
"2023","07",581,"haunted",-2
"2023","07",581,"fun",4
"2023","07",582,"haunted",-2
"2023","07",582,"extends",1
"2023","08",588,"swift",2
"2023","09",591,"agree",1
"2023","09",592,"reach",1
"2023","09",592,"agreement",1
"2023","10",597,"severe",-2
"2023","10",597,"lawsuit",-2
"2023","10",598,"love",3
"2023","11",602,"rejected",-1
"2023","11",603,"denies",-2
"2023","11",604,"pressure",-1
"2023","12",608,"worse",-3
