"Main_Headline","Date"
"Murdoch and Iger to Skip Fox and Disney Shareholder Votes","2018-07-25T16:07:11+0000"
"Disney and Fox Shareholders Approve Deal, Ending Corporate Duel","2018-07-27T14:11:43+0000"
"Apple’s Value Hit $1 Trillion. Add Disney to Bank of America and ... You’re Halfway There","2018-08-02T16:40:27+0000"
"Vote on Missouri Labor Law, and Earnings From Disney and Fox ","2018-08-05T18:35:07+0000"
"Disney’s Streaming Service Starts to Come Into Focus","2018-08-05T22:03:37+0000"
"Disney Reports Earnings, but Focus Is on Its Streaming Service","2018-08-07T23:37:58+0000"
"For a Major Disney Collector, It’s the Magic Hour","2018-08-18T10:00:01+0000"
"Walt Disney World Workers Reach Deal for $15 Minimum Wage by 2021","2018-08-25T20:51:58+0000"
"Frank Gehry’s Disney Hall Is Technodreaming","2018-09-14T10:00:07+0000"
"Disney’s and Comcast’s Fight for Sky May End in Awkward Impasse","2018-09-19T16:44:13+0000"
"Comcast and Disney (Fox) Battle Again. This Time for British Broadcaster Sky.","2018-09-21T18:59:16+0000"
"In Beating Disney for Sky, Comcast Remains in the Game","2018-09-23T22:43:01+0000"
"Fox, Acting on Behalf of Disney, Sells Its Stake in Sky to Comcast","2018-09-26T16:12:38+0000"
"Hulu Is the Next Front in the Battle Between Disney and Comcast","2018-09-27T14:58:26+0000"
"Disney’s TV Division Makes Room for Fox Executives","2018-10-08T19:23:31+0000"
"Disney World? Not Again. Four Surprising Alternatives for Your Next Family Trip.","2018-10-31T09:00:06+0000"
"Mickey Turns 90, and the Disney Marketing Machine Celebrates","2018-11-02T22:50:38+0000"
"Disney’s Profit Soars, but Focus Remains on Its Coming Streaming Service","2018-11-09T01:01:23+0000"
"Disney Is Spending More on Theme Parks Than It Did on Pixar, Marvel and Lucasfilm Combined","2018-11-16T14:33:05+0000"
"Assange, Wildfires, Disney: Your Friday Evening Briefing","2018-11-16T23:03:00+0000"
"Brexit, Camp Fire, Disney: Your Monday Briefing","2018-11-19T04:53:20+0000"
"Disney Wins Chinese Approval for Fox Deal, Clearing Major Hurdle","2018-11-19T19:22:09+0000"
"‘Ralph Breaks the Internet’ Review: Disney Gets Caught in the Web","2018-11-19T19:42:34+0000"
"Hakuna Matata™? Can Disney Actually Trademark That?","2018-12-20T13:47:45+0000"
"5 Children Headed to Disney World Were Among 7 Killed in Florida Crash","2019-01-03T23:58:29+0000"
"Ron Miller, Who Rose to the Top at Disney, Then Fell, Dies at 85","2019-02-12T21:46:23+0000"
"Review: A ‘Nantucket Sleigh Ride’ With Frozen Disney and Hot Lobster","2019-03-19T01:45:05+0000"
"Disney Moves From Behemoth to Colossus With Closing of Fox Deal","2019-03-20T04:02:05+0000"
"Federal Reserve, Disney, Kazakhstan: Your Wednesday Briefing","2019-03-20T09:39:45+0000"
"Disney Bans Smoking at Parks in Florida and California","2019-03-28T17:57:27+0000"
"A Suit Against Disney Claims Unequal Pay for Women","2019-04-02T22:10:44+0000"
"Disney Plus Streaming Service Is Unveiled to Hollywood Fanfare","2019-04-11T19:27:23+0000"
"Disney Heiress Escalates Attack on Company’s Pay Practices","2019-04-24T03:30:19+0000"
"Disney and Universal Shore Up Their Benches","2019-05-01T22:27:44+0000"
"Can an Art Collective Become the Disney of the Experience Economy?","2019-05-02T01:24:58+0000"
"Sinclair Buys Regional Sports Networks From Disney in $10.6 Billion Deal","2019-05-03T20:20:36+0000"
"Disney to Buy Comcast’s Hulu Stake and Take Full Control of Streaming Service","2019-05-14T14:12:03+0000"
"Jimmy Kimmel Saves Disney’s Supersize Upfront Presentation","2019-05-15T03:56:40+0000"
"Disney’s Aladdin: Mena Massoud on His Big Break and the Film’s Big Issues","2019-05-26T14:00:07+0000"
"‘Aladdin’ Gives Disney Another Live-Action Hit","2019-05-26T18:39:20+0000"
"Rewriting the Past Won’t Make Disney More Progressive","2019-05-27T15:25:57+0000"
"Disney C.E.O. Warns Georgia Abortion Law Would Make it ‘Very Difficult’ to Film in the State","2019-05-30T05:13:58+0000"
"Lady Gaga, Tyra Banks and the Disneyfication of Fashion","2019-05-30T07:00:02+0000"
"Zendaya Jumps From Disney to Drug Binges in HBO’s Graphic ‘Euphoria’","2019-06-13T14:00:13+0000"
"Next Stop, Fashion Disney","2019-06-25T20:37:07+0000"
"‘Stuber’ Stalls, Dealing Another Setback to Comedies and Disney’s Fox","2019-07-14T17:57:18+0000"
"Sony Gives Literary Film Division, Axed by Disney, a Second Life","2019-07-15T22:19:51+0000"
"Disney Calls Heiress’s Pay Criticism a ‘Gross and Unfair Exaggeration’","2019-07-17T21:38:42+0000"
"What Disney Risked to Make ‘The Lion King’ in 1994","2019-07-18T14:00:07+0000"
"‘Lion King’ Remake Becomes Disney’s Latest Box-Office Smash","2019-07-21T18:09:05+0000"
"California Today: Shootings Rattle California; Why Disneyland Attendance Matters","2019-08-06T12:54:17+0000"
"Disney Earnings Disappoint in First Full Quarter After Fox Deal","2019-08-06T23:27:08+0000"
"Disney’s Haunted Mansion at 50: The Ghosts Are Still Grinning","2019-08-16T09:00:29+0000"
"Did the Marvel Cinematic Universe Just Lose Spider-Man? Fans Reel at Sony-Disney Split","2019-08-21T19:07:14+0000"
"How Do You Stage Disney’s ‘Hercules’? Invite Everyone","2019-08-23T09:00:18+0000"
"Disney Tantalizes Fans With ‘Star Wars’ Hints and ‘Black Panther’ Sequel","2019-08-24T21:10:18+0000"
"Bella Thorne, the Ex-Disney Star, Chillaxes With Yarn","2019-08-31T09:00:02+0000"
"Cable Cars Over Jerusalem? Some See ‘Disneyfication’ of Holy City","2019-09-13T09:00:32+0000"
"Iger Departs Board of Apple, Disney’s New Streaming Competitor","2019-09-13T21:19:04+0000"
"New & Noteworthy Visual Books, From Disney to Drag","2019-09-17T09:00:09+0000"
"The Slow-Burning Success of Disney’s Bob Iger","2019-09-22T09:11:56+0000"
"Disney World Skyliner Gondola Abruptly Stops, Stranding Passengers in Air","2019-10-07T00:32:20+0000"
"Ad Giant Wins Over Disney With Big Data Pitch","2019-10-15T22:22:48+0000"
"Disneyland Visitor With Measles May Have Exposed Hundreds to Infection","2019-10-23T17:12:57+0000"
"Sisters! A New ‘Hocus Pocus’ Movie Is in the Works at Disney","2019-10-24T22:45:08+0000"
"Disney Is New to Streaming, but Its Marketing Is Unmatched","2019-10-28T01:16:39+0000"
"Florida’s Advice to Trump and Other New York Transplants: ‘It’s Not Disney World’","2019-11-01T21:09:08+0000"
"Remember Family Films? Disney Plus Is Making ’Em Like They Used To","2019-11-07T15:00:10+0000"
"Disney’s Ambitious Streaming Plans Take Big Bite Out of Profits","2019-11-08T00:20:19+0000"
"Review: On Disney Plus, a Show That Goldblumsplains the World","2019-11-11T18:59:16+0000"
"Israel, Jimmy Carter, Disney Plus: Your Tuesday Briefing","2019-11-12T10:34:39+0000"
"Disney Plus Streamers Are Met With Error Message on Launch Day","2019-11-12T15:23:44+0000"
"Arctic Blast, Supreme Court, Disney Plus: Your Tuesday Evening Briefing","2019-11-12T23:25:38+0000"
"Disney Channels the Force","2019-11-15T21:55:00+0000"
"Apple TV Plus and Disney Plus: What Shows Are Worth Watching?","2019-11-19T10:00:21+0000"
"Dreaming Up Disneyland","2019-11-25T15:00:04+0000"
"Disney Stars and Dancers","2019-12-13T18:31:07+0000"
"Disney Removes Same-Sex Kiss From ‘Star Wars’ Film in Singapore","2019-12-25T08:52:51+0000"
"Would You Work for Nothing at Disney? 10,000 Superfans Applied","2020-01-08T10:00:16+0000"
"In Disney Races, Cartoonish Gear Is the Front-Runner","2020-01-11T13:00:09+0000"
"Disney Drops Fox From Names of Studios It Bought From Rupert Murdoch","2020-01-17T17:52:42+0000"
"Disney Plus Racks Up 28.6 Million Subscribers","2020-02-04T18:13:32+0000"
"Disney C.E.O. Apologizes to P.T.A. Asked to Pay After ‘Lion King’ Screening","2020-02-05T21:14:58+0000"
"Disney C.E.O. Bob Iger Hands Keys to Magic Kingdom to Its 7th Chief","2020-02-25T21:16:36+0000"
"Center Stage at Disney After a Career Out of the Spotlight","2020-02-27T00:06:01+0000"
"Russia Gets Its Disneyland, a Cold War Dream Come True","2020-02-29T08:00:19+0000"
"With Disney, a Manhattan Neighborhood Reinvents Itself","2020-03-03T14:00:13+0000"
"‘If I’m Going to Get Sick and Die, I Might as Well Do It at Disney World’","2020-03-12T09:00:16+0000"
"Disney Parks and Cruise Line Will Close in Response to Coronavirus","2020-03-12T20:24:09+0000"
"Coronavirus, United Kingdom, Disney Plus: Your Tuesday Briefing","2020-03-24T05:13:42+0000"
"Disney Plus Racks Up 50 Million Subscribers in 5 Months","2020-04-09T00:28:10+0000"
"U.F.C. 249 Is Off After Requests From California, Disney and ESPN","2020-04-09T22:25:19+0000"
"Disney World Furloughing 43,000 Workers","2020-04-12T19:57:07+0000"
"Bob Iger Thought He Was Leaving on Top. Now, He’s Fighting for Disney’s Life.","2020-04-13T01:00:06+0000"
"Ann Sullivan, Animator of Disney Hits, Dies at 91","2020-04-21T20:52:31+0000"
"May the Fourth Be With Disney (Terms and Conditions Apply)","2020-04-28T19:54:05+0000"
"Man Camped on Disney World Island at Shuttered Park, Police Say","2020-05-03T18:36:38+0000"
"For Walt Disney Co., a Stricken Empire","2020-05-04T09:00:29+0000"
"Virus Deaths, Migration, Disney: Your Monday Evening Briefing","2020-05-04T22:18:37+0000"
"Disney Takes a Pandemic Hit, and There’s Worse to Come","2020-05-05T22:36:50+0000"
"Shanghai Disneyland Reopens With Strict Safety Procedures","2020-05-11T05:26:52+0000"
"‘Hamilton’ Movie Will Stream on Disney Plus on July 3","2020-05-12T13:04:44+0000"
"Disney Closes ‘Frozen’ on Broadway, Citing Pandemic","2020-05-14T20:10:50+0000"
"News Quiz: Coronavirus, Walt Disney, Little Richard","2020-05-15T07:51:08+0000"
"Disney’s Head of Streaming Is New TikTok C.E.O.","2020-05-18T20:25:11+0000"
"N.B.A. in Talks to Resume Season at Walt Disney World Resort","2020-05-23T16:52:05+0000"
"Disney World Is Reopening, but You Won’t Be Able to Hug Mickey","2020-05-27T17:56:26+0000"
"Why the N.B.A. Is Planning on Going to Disney World","2020-06-02T11:00:15+0000"
"Jimmy Kimmel Does What He Can to Help Disney Attract Advertisers","2020-06-05T13:29:11+0000"
"Shut Out of Disney World, Where Do These N.B.A. Teams Go Next?","2020-06-06T07:00:11+0000"
"Snapchat Expands Deals With N.F.L., Disney and Others","2020-06-11T17:30:23+0000"
"Disney Exits Language School Business in China, Citing Coronavirus","2020-06-23T22:12:57+0000"
"Disney Postpones Some Resort Reopenings","2020-06-24T09:45:10+0000"
"Disney’s Splash Mountain to Drop ‘Song of the South’ Depictions","2020-06-25T20:46:19+0000"
"Lin-Manuel Miranda and Disney: Timeline of a Collaboration","2020-07-03T14:00:11+0000"
"Kaepernick’s Deal With Disney Includes a Jemele Hill Project at ESPN","2020-07-07T07:00:11+0000"
"As N.B.A. Teams Arrive at Disney, Focus Turns to Keeping the Virus Out","2020-07-07T23:01:56+0000"
"Disney World Draws Excitement and Incredulity as Reopening Nears","2020-07-08T09:00:35+0000"
"Disney World Opens Its Gates, With Virus Numbers Rising","2020-07-11T20:52:11+0000"
"Hong Kong Disneyland to Close Again, Days After Disney World Reopens","2020-07-13T19:06:03+0000"
"News Quiz: China, Twitter, Disney","2020-07-17T07:30:01+0000"
"Disney Cuts Ties With ABC News Executive Over ‘Racially Insensitive’ Remarks","2020-07-21T17:27:48+0000"
"Disney delays release of ‘Mulan’ and pushes back ‘Star Wars’ and ‘Avatar’ films.","2020-07-24T11:19:43+0000"
"Disney, Staggered by Pandemic, Sees a Streaming Boom","2020-08-04T22:38:59+0000"
"The 50 Best TV Shows and Movies to Watch on Disney+ Right Now","2020-09-04T21:48:36+0000"
"Disney Wanted to Make a Splash in China With ‘Mulan.’ It Stumbled Instead.","2020-09-12T15:30:06+0000"
"Disney Lays Off 28,000, Mostly at Its 2 U.S. Theme Parks","2020-09-29T22:11:16+0000"
"At Disney World, ‘Worst Fears’ About Virus Have Not Come True","2020-10-09T17:56:14+0000"
"Disney Reorganization Puts a Sharper Focus on Streaming","2020-10-12T20:36:29+0000"
"Disney Adds Warnings for Racist Stereotypes to Some Older Films","2020-10-19T00:32:11+0000"
"Unions signal their comfort with reopening Disney parks in California.","2020-10-19T21:34:52+0000"
"Disneyland and Other California Theme Parks Get Rules for Reopening","2020-10-21T00:11:57+0000"
"Disney+ Passes 73 Million Subscribers as Streaming Takes Center Stage","2020-11-12T23:23:55+0000"
"What’s on TV This Week: ‘Your Honor’ and ‘The Disney Holiday Singalong’","2020-11-30T06:00:07+0000"
"Radio Disney, Launching Pad for Young Stars, Will Shut Down Next Year","2020-12-04T20:44:03+0000"
"Disney to Reveal Plans to Turbocharge Streaming Offerings","2020-12-09T22:51:45+0000"
"SEC Reaches $3 Billion Deal With Disney, Drawing CBS Ties Toward an End","2020-12-10T22:42:09+0000"
"‘Star Wars,’ ‘Pinocchio’ and More as Disney Leans Sharply Into Streaming","2020-12-10T22:51:53+0000"
"The Biggest Casting News From Disney’s Investor Day","2020-12-11T20:55:37+0000"
"Disney names a new chairman for its movie division.","2020-12-21T19:36:24+0000"
"The Force (and a Lenient Disney) Is With ‘Star Wars’ Fan Filmmakers","2021-01-07T15:00:10+0000"
"‘WandaVision’ Review: That’s Why They Became the Disney+ Bunch","2021-01-14T19:28:33+0000"
"Disneyland as a Vaccination Site? Airports as Test Centers? The Travel Industry Pitches In","2021-01-15T10:00:23+0000"
"Disneyland ends annual passes, citing uncertainty around the pandemic.","2021-01-15T12:38:32+0000"
"Iceland Has a Request for Disney+: More Icelandic, Please","2021-02-03T12:51:30+0000"
"How a Gen-Z Disney Star Wrote a Runaway Hit","2021-02-26T10:00:02+0000"
"Film Club: ‘How a Gen-Z Disney Star Wrote a Runaway Hit’","2021-03-05T02:23:01+0000"
"California sets a road map for theme parks to restart, putting Disneyland on track for reopening.","2021-03-06T02:21:30+0000"
"Disneyland will reopen in late April, Disney’s chief executive says.","2021-03-09T20:03:52+0000"
"Pay Discrimination Suit Against Disney Adds Pay Secrecy Claim","2021-03-18T19:56:18+0000"
"Who Wants ‘A Touch of Disney’? A Lot of People.","2021-03-22T12:39:57+0000"
"Release dates for six Disney films, including ‘Black Widow,’ are pushed back.","2021-03-23T18:58:55+0000"
"Race Through the World of Disney ","2021-04-08T18:03:32+0000"
"Disney and ad-tech firms agree to privacy changes for children’s apps.","2021-04-13T15:57:03+0000"
"Column on ‘Wokeness’ Ruining Disney World Experience Draws Backlash","2021-04-24T20:54:23+0000"
"Disneyland is Reopening. Here’s What You Need to Know.","2021-04-29T09:00:16+0000"
"Tears, Proposals and Flying Elephants: Disneyland Reopens","2021-05-03T12:58:36+0000"
"Disney’s Streaming Service Slows, Coloring a Profitable Quarter","2021-05-13T20:56:48+0000"
"‘Cruella’ Review: A Disney Villain Gets a Backstory. It’s Spotty.","2021-05-26T19:02:01+0000"
"The Game Winner for Disney+? Slapping Down the Sports Clichés.","2021-05-27T16:15:09+0000"
"Disney Creates a ‘Launchpad’ for Underrepresented Filmmakers","2021-06-02T18:00:07+0000"
"Ride on: Disneyland in California reopens to out-of-state visitors.","2021-06-15T23:13:05+0000"
"‘It’s Like Coming Home to Family’: Disneyland Paris Reopens","2021-06-23T09:00:27+0000"
"Former Disney Star Kyle Massey Charged With Sending Explicit Messages to a Minor","2021-06-30T20:28:04+0000"
"Disney, With Benefit Concert, Makes an Early Return to Broadway","2021-07-07T12:00:06+0000"
"Disney’s Brand Protector and Power Behind the Power Is Stepping Down","2021-07-13T19:20:05+0000"
"Scarlett Johansson Sues Disney Over ‘Black Widow’ Release","2021-07-29T21:40:14+0000"
"Walmart and Disney Join a Growing Group of Businesses Requiring Vaccines","2021-07-30T15:15:05+0000"
"Disney+ reaches 116 million subscribers, and its parks division returns to profitability.","2021-08-12T20:26:51+0000"
"To Skip the Line at Disney, Get Ready to Pay a Genie","2021-08-18T20:30:07+0000"
"Are You Ready for Sentient Disney Robots?","2021-08-19T15:00:12+0000"
"The Secrets of Disney World’s Robots","2021-08-26T14:12:43+0000"
"Disney Sues to Keep Complete Rights to Marvel Characters","2021-09-24T16:46:29+0000"
"Disney World’s 50th anniversary celebration begins, with much at stake.","2021-10-01T20:41:18+0000"
"Disney World reveals how much its new line-skipping system will cost.","2021-10-08T20:40:37+0000"
"Alan Horn, a top creative executive, is the latest high-ranking Disney departure.","2021-10-11T19:40:05+0000"
"Ruthie Tompson Dies at 111; Breathed Animated Life Into Disney Films","2021-10-12T16:31:38+0000"
"Cheers, tears, comfort dogs and Disney balloons: Covid shots for children get underway in a Texas hospital.","2021-11-03T19:08:41+0000"
"Disney+ subscriber growth slowed notably in latest quarter, putting pressure on the company.","2021-11-10T21:26:02+0000"
"Disney Cruise Line will require all passengers ages 5 and older to be fully vaccinated.","2021-11-17T18:55:10+0000"
"Disney pauses its worker vaccine mandate after Florida’s ban.","2021-11-21T01:17:04+0000"
"Disney hires Geoff Morrell, a BP executive, as its corporate affairs chief.","2021-12-07T18:37:05+0000"
"Bob Iger, soon to leave Disney, returns to his weatherman roots.","2021-12-09T16:34:29+0000"
"Is Disney the Met’s Fairy Godmother?","2021-12-26T18:33:05+0000"
"Documentary Critical of Disney, From the Disney Family","2022-01-23T10:00:10+0000"
"Peter Dinklage Calls Disney’s ‘Snow White’ Remake ‘Backward’","2022-01-25T18:51:11+0000"
"Disney Princess dolls are reunited with Barbie.","2022-01-26T17:51:36+0000"
"Disney’s Former C.E.O. Gave Me the Exit Interview I Asked for","2022-01-27T10:00:08+0000"
"Disney+ hits 130 million subscribers, beating expectations.","2022-02-09T16:40:19+0000"
"Disney Takes Visitors to a Galaxy Far, Far Away","2022-02-25T14:02:33+0000"
"The ‘Disney’ for Boomers Puts Hedonism on Full Display","2022-03-03T10:00:31+0000"
"Disney+ Will Introduce a Cheaper, Ad-Supported Version This Year","2022-03-04T16:53:29+0000"
"Disney C.E.O. Says Company Is ‘Opposed’ to Florida’s ‘Don’t Say Gay’ Bill","2022-03-09T20:13:58+0000"
"Disney Can’t Hide From Politics","2022-03-11T20:30:07+0000"
"Disney Shanghai temporarily shuts down as Omicron surges in China.","2022-03-21T01:11:25+0000"
"Disney Employees Walk Out Amid Furor Over Florida Legislation","2022-03-22T21:38:06+0000"
"Disney says it hopes Florida anti-L.G.B.T.Q. law is repealed or ‘struck down by the courts.’","2022-03-28T18:57:29+0000"
"The Right’s Disney Freakout","2022-04-01T09:00:22+0000"
"Disney, Built on Fairy Tales and Fantasy, Confronts the Real World","2022-04-17T07:00:13+0000"
"After a 2-Year Ban, Hugs Are Back at Disneyland","2022-04-18T22:15:38+0000"
"Gov. Ron DeSantis clears a way to revoke Disney’s special district in Florida.","2022-04-19T23:52:25+0000"
"Disney vs. Florida","2022-04-21T12:07:01+0000"
"Disney to Lose Special Tax Status in Florida Amid ‘Don’t Say Gay’ Clash","2022-04-21T17:31:47+0000"
"Quotation of the Day: Florida Cuts Tax District for Disney","2022-04-22T05:48:08+0000"
"Punishing Disney, DeSantis Signals a Lasting G.O.P. Brawl With Business","2022-04-22T19:13:10+0000"
"What We Know About the DeSantis-Disney Rift","2022-04-24T22:20:39+0000"
"Florida’s Punishment of Disney World","2022-04-28T17:06:02+0000"
"Disney’s top communications executive is out after less than four months.","2022-04-29T22:32:38+0000"
"Disney Apologizes After Employee Thwarts Marriage Proposal","2022-06-07T13:50:07+0000"
"Disney fires Peter Rice, its top TV content executive.","2022-06-09T15:26:50+0000"
"After a Political Storm, Gay Days Return to Disney","2022-06-10T15:45:18+0000"
"Disney loses bid for the rights to stream Indian Premier League cricket matches.","2022-06-13T14:50:53+0000"
"Disney’s ‘Lightyear,’ With a Same-Sex Kiss, Faces a Backlash in Some Muslim Countries","2022-06-15T13:11:25+0000"
"The Former Electrical Engineer Leading Disney’s Streaming Strategy","2022-06-27T07:00:09+0000"
"Disney Board Renews Bob Chapek as C.E.O.","2022-06-28T20:36:35+0000"
"Florida Man Posing as Disney Worker Charged in Removal of R2-D2 at Hotel","2022-07-03T12:00:06+0000"
"Walmart Ponders Streaming Deal With Paramount, Disney and Comcast","2022-08-09T16:04:18+0000"
"Activist Investor Buys Stake in Disney and Pushes for Changes","2022-08-15T17:51:23+0000"
"Can Disney Do Better?","2022-08-16T12:50:09+0000"
"Disney Considers a Membership Plan to Leverage Its Empire for Disney+","2022-08-31T22:37:06+0000"
"‘Burbank’ Review: When Disney’s Animators Went on Strike","2022-09-09T20:45:48+0000"
"At Corporate Pep Rally, Disney C.E.O. Pitches Warmer, Fuzzier Side","2022-09-11T20:24:56+0000"
"An Anti-E.S.G. Activist Takes on Apple and Disney","2022-09-20T11:30:59+0000"
"Disney Tries Mixing Streaming With Shopping","2022-11-01T13:00:08+0000"
"Disney+ Adds 12 Million Subscribers, but Cites ‘Peak Losses’","2022-11-08T21:06:11+0000"
"‘Mickey: The Story of a Mouse’ Review: Disney’s Clown Prince","2022-11-17T15:29:49+0000"
"Alice Davis, Costume Designer for Disney Rides, Dies at 93","2022-11-18T14:41:18+0000"
"Disney Brings Back Bob Iger After Ousting Chapek as C.E.O.","2022-11-21T03:14:38+0000"
"Investors Cheer Leadership Shakeup at Disney","2022-11-21T13:18:58+0000"
"Iger’s Sudden Return to Disney Shocks a Discontented Kingdom","2022-11-21T23:42:35+0000"
"After Swift Return, Iger Faces Disney’s Long-Term Challenges","2022-11-22T23:20:22+0000"
"Bob Iger, Acknowledging ‘Challenging Times,’ Meets With Disney Employees","2022-11-28T22:05:49+0000"
"Bob Chapek Didn’t Believe in Disney Magic","2022-11-29T18:56:22+0000"
"GLAAD Praises Increased Inclusiveness of Disney Films","2022-12-15T14:00:09+0000"
"Mickey’s Copyright Adventure: Early Disney Creation Will Soon Be Public Property","2022-12-27T16:29:53+0000"
"‘Treasure Planet’ at 20: Disney’s Failed Space Odyssey Deserved to Soar","2022-12-28T12:00:07+0000"
"Disney Is Bringing Employees Back Four Days a Week","2023-01-09T20:10:16+0000"
"Disney Revises Pricing Policies at Its Parks","2023-01-10T21:00:09+0000"
"Disney Pushes Back Against Activist Investor’s Quest for Board Seat","2023-01-12T00:11:13+0000"
"Disney Braces for a Fight Over Its Board","2023-01-12T12:57:47+0000"
"Disney Says Investor Seeking Board Seat ‘Does Not Understand’ Company","2023-01-17T18:47:20+0000"
"Disney’s Splash Mountain Closed. Now Superfans Are Selling the Water.","2023-01-26T09:52:01+0000"
"Disney World Workers Reject Contract Offer","2023-02-04T18:58:21+0000"
"Disney’s Iger Returns to Familiar Stage, but With Different Challenges","2023-02-06T10:00:13+0000"
"Searching for Streaming Profit, Disney Cuts $5.5 Billion in Costs","2023-02-08T21:05:07+0000"
"Activist Disney Investor Ends Battle for Board Seat","2023-02-09T15:22:47+0000"
"DeSantis Declares Victory as Disney Is Stripped of Some 56-Year-Old Perks","2023-02-10T20:00:40+0000"
"Disney Toasts a Century as Business and Political Challenges Mount","2023-02-13T22:31:47+0000"
"What a Visit to Disney World Reveals About America","2023-03-03T20:00:07+0000"
"Disney Lays Off Ike Perlmutter, Chairman of Marvel Entertainment","2023-03-29T15:37:31+0000"
"A Florida School Banned a Disney Movie About Ruby Bridges. Here’s What That Really Means.","2023-03-29T23:15:06+0000"
"DeSantis’s Allies Discover Disney Evaded Florida’s Move to Rein It In","2023-03-30T17:41:43+0000"
"DeSantis and Disney Clash Anew Over Florida Theme Park’s Authority","2023-04-03T16:29:23+0000"
"Mickey Bars, Turkey Legs and the Obsession With Disney Food","2023-04-10T15:17:24+0000"
"DeSantis, in Latest Volley Against Disney, Suggests Punitive Steps","2023-04-17T20:44:14+0000"
"Disney’s First Offices in Los Angeles Are Hiding in Plain Sight","2023-04-18T13:00:05+0000"
"Republicans Hit DeSantis Over Disney Feud","2023-04-19T16:56:58+0000"
"DeSantis Appointees Seek to ‘Void’ Disney World Agreement","2023-04-19T20:37:52+0000"
"Dragon at Disneyland’s ‘Fantasmic!’ Performance Catches Fire","2023-04-23T19:41:56+0000"
"Disney Sues DeSantis Over Control of Its Florida Resort","2023-04-26T15:17:17+0000"
"Man vs. Mouse: Ron DeSantis Finds Taking On Disney Is a Dicey Business","2023-04-26T16:33:18+0000"
"Stew Leonard Sr. Dies at 93; Founded ‘Disneyland of Dairy Stores’","2023-04-27T22:38:40+0000"
"Disney v. DeSantis: How Strong Is the Company’s Lawsuit?","2023-04-30T10:00:07+0000"
"Disney Sued by Florida for Control of Theme Park’s Expansion","2023-05-02T06:37:25+0000"
"DeSantis Signs Into Law Latest Wrinkle in Disney Feud","2023-05-05T21:57:51+0000"
"Disney’s Losses From Streaming Narrowed in the Last Quarter","2023-05-10T20:05:06+0000"
"Disney Argues New Florida Law Nullifies DeSantis-Backed Suit","2023-05-16T21:53:14+0000"
"Disney Pulls Plug on $1 Billion Development in Florida","2023-05-18T18:15:05+0000"
"Disney Inflicts a Blow to DeSantis Ahead of His Presidential Run","2023-05-19T12:12:57+0000"
"DeSantis Lawyers Ask Judge in Disney Case to Recuse Himself","2023-05-19T22:58:22+0000"
"Disney to Close ‘Star Wars’-Themed Hotel Less Than Two Years After It Opened","2023-05-20T18:54:34+0000"
"Alan Menken on ‘The Little Mermaid’ and the Mixed Blessing of Disney Fame","2023-05-29T09:01:13+0000"
"Judge in Disney World Case Steps Aside but Blasts DeSantis’s Lawyers","2023-06-02T03:34:57+0000"
"The Man Reimagining Disney Classics for Today’s World","2023-06-04T16:01:35+0000"
"I Know Why Disney Is Fighting DeSantis","2023-06-07T09:01:22+0000"
"Disney’s Chief Financial Officer Is Stepping Down","2023-06-15T22:34:31+0000"
"Producer Ryan Murphy Is Expected to Move to Disney","2023-06-21T01:09:13+0000"
"With DeSantis on the Stump, Disney Sees a Long Campaign Ahead","2023-07-03T09:00:30+0000"
"Bob Iger to Remain as Head of Disney Through 2026","2023-07-12T21:04:02+0000"
"Seeing the World Like a Character From a Disney Classic","2023-07-14T16:06:59+0000"
"‘Haunted Mansion’ Review: A Disney Ride to Nowhere Fun","2023-07-27T09:00:23+0000"
"‘Haunted Mansion’ Extends Disney’s Box Office Cold Streak","2023-07-30T17:33:17+0000"
"Disney Goes Back to the Future","2023-07-31T12:18:53+0000"
"Disney District, Now Under DeSantis’s Control, Ends Its D.E.I. Programs","2023-08-02T00:19:01+0000"
"How ESPN Went From Disney’s Financial Engine to Its Problem","2023-08-02T09:00:39+0000"
"For Disney, Streaming Losses and TV’s Decline Are a One-Two Punch","2023-08-09T20:05:10+0000"
"Bob Iger Tweaks Disney’s Strategy on Streaming","2023-08-10T12:03:39+0000"
"Rishi Sunak’s Vacation: Taylor Swift and Disneyland. (The Rest Is a Secret.)","2023-08-16T20:07:20+0000"
"Disney Changes Gears in Suits Against DeSantis and Allies","2023-09-01T18:13:25+0000"
"Why Charter and Disney Are Fighting, and What It Means for Viewers","2023-09-02T09:03:41+0000"
"Comcast and Disney Agree to Speed Up Hulu Deal","2023-09-06T17:03:21+0000"
"Disney and Charter Reach Agreement, Ending Cable Standoff","2023-09-11T15:45:38+0000"
"‘A Ticket to Disney’? Politicians Charge Millions to Send Migrants to U.S.","2023-09-14T09:03:09+0000"
"Bear Sighting Forces Closures at Disney World","2023-09-18T19:23:14+0000"
"Disney, Challenged Elsewhere, Plans to Spend $60 Billion on Parks and Cruises","2023-09-19T13:02:32+0000"
"Disney’s Thomas Schumacher Takes on New Broadway Role","2023-09-28T14:11:03+0000"
"‘Wedgie’ on Disney Water Slide Caused Severe Injuries, Lawsuit Says","2023-10-03T18:32:02+0000"
"It’s Not Enough to Love Disney. They Want to Live Disney.","2023-10-13T09:00:59+0000"
"‘The Nightmare Before Christmas’: A Hit That Initially Unnerved Disney","2023-10-25T19:26:05+0000"
