"year","word","value","company"
2019,"resolve",2,"Tesla"
2019,"dispute",-2,"Tesla"
2019,"pretty",1,"Tesla"
2019,"easy",1,"Tesla"
2019,"reach",1,"Tesla"
2019,"inspiration",2,"Tesla"
2019,"loss",-3,"Tesla"
2019,"lag",-1,"Tesla"
2019,"celebrates",3,"Tesla"
2019,"reach",1,"Tesla"
2019,"slashing",-2,"Tesla"
2019,"debt",-2,"Tesla"
2019,"skeptics",-2,"Tesla"
2019,"aboard",1,"Tesla"
2019,"helps",2,"Tesla"
2019,"shares",1,"Tesla"
2019,"defects",-3,"Tesla"
2019,"reaches",1,"Tesla"
2020,"crash",-2,"Tesla"
2020,"criticism",-2,"Tesla"
2020,"share",1,"Tesla"
2020,"furious",-3,"Tesla"
2020,"struggle",-2,"Tesla"
2020,"misleading",-3,"Tesla"
2020,"strikes",-1,"Tesla"
2020,"promises",1,"Tesla"
2020,"shares",1,"Tesla"
2020,"charged",-3,"Tesla"
2021,"growing",1,"Tesla"
2021,"positive",2,"Tesla"
2021,"positive",2,"Tesla"
2021,"fresh",1,"Tesla"
2021,"accept",1,"Tesla"
2021,"firing",-2,"Tesla"
2021,"illegal",-3,"Tesla"
2021,"complains",-2,"Tesla"
2021,"delay",-1,"Tesla"
2021,"killed",-3,"Tesla"
2021,"crash",-2,"Tesla"
2021,"crash",-2,"Tesla"
2021,"arrested",-3,"Tesla"
2021,"stops",-1,"Tesla"
2021,"accepting",1,"Tesla"
2021,"crash",-2,"Tesla"
2021,"victims",-3,"Tesla"
2021,"kills",-3,"Tesla"
2021,"shortage",-2,"Tesla"
2021,"winner",4,"Tesla"
2021,"crash",-2,"Tesla"
2021,"victims",-3,"Tesla"
2021,"kills",-3,"Tesla"
2021,"risk",-2,"Tesla"
2021,"emergency",-2,"Tesla"
2021,"accident",-2,"Tesla"
2021,"crash",-2,"Tesla"
2021,"safety",1,"Tesla"
2021,"safety",1,"Tesla"
2021,"safety",1,"Tesla"
2021,"pay",-1,"Tesla"
2021,"racist",-3,"Tesla"
2021,"perfect",3,"Tesla"
2021,"questionable",-2,"Tesla"
2021,"lack",-2,"Tesla"
2021,"crash",-2,"Tesla"
2021,"tops",2,"Tesla"
2021,"exclusive",2,"Tesla"
2021,"shares",1,"Tesla"
2021,"shares",1,"Tesla"
2021,"beating",-1,"Tesla"
2021,"vision",1,"Tesla"
2021,"safety",1,"Tesla"
2021,"safety",1,"Tesla"
2021,"agrees",1,"Tesla"
2021,"stop",-1,"Tesla"
2021,"safety",1,"Tesla"
2021,"defects",-3,"Tesla"
2022,"increase",1,"Tesla"
2022,"accusations",-2,"Tesla"
2022,"helping",2,"Tesla"
2022,"struggled",-2,"Tesla"
2022,"warns",-2,"Tesla"
2022,"prevent",-1,"Tesla"
2022,"stops",-1,"Tesla"
2022,"bias",-1,"Tesla"
2022,"wins",4,"Tesla"
2022,"approval",2,"Tesla"
2022,"awaited",-1,"Tesla"
2022,"penalty",-2,"Tesla"
2022,"racism",-3,"Tesla"
2022,"loom",-1,"Tesla"
2022,"insult",-2,"Tesla"
2022,"risks",-2,"Tesla"
2022,"cut",-1,"Tesla"
2022,"safe",1,"Tesla"
2022,"safety",1,"Tesla"
2022,"expands",1,"Tesla"
2022,"trouble",-2,"Tesla"
2022,"hurt",-2,"Tesla"
2022,"increase",1,"Tesla"
2022,"accuses",-2,"Tesla"
2022,"shares",1,"Tesla"
2022,"strong",2,"Tesla"
2022,"retreat",-1,"Tesla"
2022,"cuts",-1,"Tesla"
2022,"demand",-1,"Tesla"
2022,"pay",-1,"Tesla"
2022,"pay",-1,"Tesla"
2022,"helps",2,"Tesla"
2022,"thwart",-2,"Tesla"
2022,"lawsuits",-2,"Tesla"
2022,"distraction",-2,"Tesla"
2022,"aggravate",-2,"Tesla"
2022,"troubles",-2,"Tesla"
2022,"bad",-3,"Tesla"
2023,"cuts",-1,"Tesla"
2023,"demand",-1,"Tesla"
